,company_name,sic,office,industry,cik
SCSC,SCANSOURCE INC,5045,Office of Trade & Services,WHOLESALE-COMPUTERS & PERIPHERAL EQUIPMENT & SOFTWARE,918965
SCU,SOUTH CAROLINA ELECTRIC & GAS CO,4931,Office of Energy & Transportation,ELECTRIC & OTHER SERVICES COMBINED,91882
SCVL,SHOE CARNIVAL INC,5661,Office of Trade & Services,RETAIL-SHOE STORES,895447
SCWX,SecureWorks Corp,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1468666
SD,SANDRIDGE ENERGY INC,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,1349436
SDGR,"Schrodinger, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1490978
SEAS,"SeaWorld Entertainment, Inc.",7990,Office of Trade & Services,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,1564902
SEAT,Vivid Seats Inc.,7990,Office of Trade & Services,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,1856031
SEB,SEABOARD CORP /DE/,6221,Office of Crypto Assets,COMMODITY CONTRACTS BROKERS & DEALERS,88121
SEE,SEALED AIR CORP/DE,2670,Office of Manufacturing,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),1012100
SEER,"Seer, Inc.",3826,Industrial Applications and Services,LABORATORY ANALYTICAL INSTRUMENTS,1726445
SEIC,SEI INVESTMENTS CO,6211,Office of Finance,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",350894
SEM,SELECT MEDICAL HOLDINGS CORP,8060,Industrial Applications and Services,SERVICES-HOSPITALS,1320414
SENEA,Seneca Foods Corp,2033,Office of Manufacturing,"CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES",88948
SENS,"Senseonics Holdings, Inc.",3823,Industrial Applications and Services,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",1616543
SF,STIFEL FINANCIAL CORP,6211,Office of Finance,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",720672
SFBS,"ServisFirst Bancshares, Inc.",6022,Office of Finance,STATE COMMERCIAL BANKS,1430723
SFIX,"Stitch Fix, Inc.",5961,Office of Trade & Services,RETAIL-CATALOG & MAIL-ORDER HOUSES,1576942
SFM,"Sprouts Farmers Market, Inc.",5411,Office of Trade & Services,RETAIL-GROCERY STORES,1575515
SFNC,SIMMONS FIRST NATIONAL CORP,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,90498
SFST,SOUTHERN FIRST BANCSHARES INC,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,1090009
SG,"Sirius International Insurance Group, Ltd.",6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",1744894
SGC,SUPERIOR UNIFORM GROUP INC,2300,Office of Manufacturing,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,95574
SGEN,SEATTLE GENETICS INC /WA,2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1060736
SGFY,"Signify Health, Inc.",8082,Industrial Applications and Services,SERVICES-HOME HEALTH CARE SERVICES,1828182
SGH,"SMART Global Holdings, Inc.",3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1616533
SGHT,"Sight Sciences, Inc.",3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1531177
SGMO,SANGAMO BIOSCIENCES INC,2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1001233
SGRY,"Surgery Partners, Inc.",8062,Industrial Applications and Services,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",1638833
SHAK,Shake Shack Inc.,5810,Office of Trade & Services,RETAIL-EATING & DRINKING PLACES,1620533
SHBI,SHORE BANCSHARES INC,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,1035092
SHC,Sotera Health Co,8090,Industrial Applications and Services,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",1822479
SHCR,"Sharecare, Inc.",8000,Industrial Applications and Services,SERVICES-HEALTH SERVICES,1816233
SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,4813,Office of Technology,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),354963
SHLS,"Shoals Technologies Group, Inc.",3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1831651
SHO,"Sunstone Hotel Investors, Inc.",7011,Office of Real Estate & Construction,HOTELS & MOTELS,1295810
SHOO,"STEVEN MADDEN, LTD.",3140,Office of Manufacturing,"FOOTWEAR, (NO RUBBER)",913241
SHW,SHERWIN WILLIAMS CO,5200,Office of Trade & Services,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",89800
SHYF,"SHYFT GROUP, INC.",3711,Office of Manufacturing,MOTOR VEHICLES & PASSENGER CAR BODIES,743238
SI,Silvergate Capital Corp,6022,Office of Finance,STATE COMMERCIAL BANKS,1312109
SIBN,"SI-BONE, Inc.",3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1459839
SIG,SIGNET JEWELERS LTD,5944,Office of Trade & Services,RETAIL-JEWELRY STORES,832988
SIGA,SIGA TECHNOLOGIES INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1010086
SIGI,SELECTIVE INSURANCE GROUP INC,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",230557
SILK,Silk Road Medical Inc,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1397702
SIRI,SIRIUS XM RADIO INC.,4832,Office of Technology,RADIO BROADCASTING STATIONS,908937
SITC,SITE Centers Corp.,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,894315
SITE,"SiteOne Landscape Supply, Inc.",700,Industrial Applications and Services,AGRICULTURAL SERVICES,1650729
SITM,SITIME Corp,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1451809
SIVB,SVB FINANCIAL GROUP,6022,Office of Finance,STATE COMMERCIAL BANKS,719739
SIX,Six Flags Entertainment Corp,7990,Office of Trade & Services,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,701374
SJI,SOUTH JERSEY INDUSTRIES INC,4924,Office of Energy & Transportation,NATURAL GAS DISTRIBUTION,91928
SJM,SMUCKER J M CO,2033,Office of Manufacturing,"CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES",91419
SJW,SJW CORP,4941,Office of Energy & Transportation,WATER SUPPLY,766829
SKIL,Skillsoft Corp.,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1774675
SKIN,Beauty Health Co,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1818093
SKLZ,Skillz Inc.,7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,1801661
SKX,SKECHERS USA INC,3140,Office of Manufacturing,"FOOTWEAR, (NO RUBBER)",1065837
SKY,SKYLINE CORP,2451,Office of Manufacturing,MOBILE HOMES,90896
SKYT,"SkyWater Technology, Inc",3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1819974
SKYW,SKYWEST INC,4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED",793733
SLAB,SILICON LABORATORIES INC,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1038074
SLB,SCHLUMBERGER LTD /NV/,1389,Office of Energy & Transportation,"OIL & GAS FIELD SERVICES, NEC",87347
SLCA,"U.S. SILICA HOLDINGS, INC.",1400,Office of Energy & Transportation,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),1524741
SLDP,"Solid Power, Inc.",3690,Office of Manufacturing,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",1844862
SLG,SL GREEN REALTY CORP,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1040971
SLGC,"SomaLogic, Inc.",8731,Industrial Applications and Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,1837412
SLGN,SILGAN HOLDINGS INC,3411,Office of Manufacturing,METAL CANS,849869
SLM,SLM CORP,6141,Office of Finance,PERSONAL CREDIT INSTITUTIONS,1032033
SLP,SIMULATIONS PLUS INC,7373,Office of Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,1023459
SLQT,"SelectQuote, Inc.",6411,Office of Finance,"INSURANCE AGENTS, BROKERS & SERVICE",1794783
SLVM,Sylvamo Corp,2621,Office of Manufacturing,PAPER MILLS,1856485
SM,SM Energy Co,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,893538
SMAR,SMARTSHEET INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1366561
SMBC,SOUTHERN MISSOURI BANCORP INC,6036,Office of Finance,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",916907
SMBK,SMARTFINANCIAL INC.,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,1038773
SMCI,"Super Micro Computer, Inc.",3571,Office of Technology,ELECTRONIC COMPUTERS,1375365
SMFR,Sema4 Holdings Corp.,8000,Industrial Applications and Services,SERVICES-HEALTH SERVICES,1818331
SMG,SCOTTS MIRACLE-GRO CO,2870,Industrial Applications and Services,AGRICULTURAL CHEMICALS,825542
SMMF,SUMMIT FINANCIAL GROUP INC,6022,Office of Finance,STATE COMMERCIAL BANKS,811808
SMP,STANDARD MOTOR PRODUCTS INC,3690,Office of Manufacturing,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",93389
SMPL,"Simplicity Bancorp, Inc.",6035,Office of Finance,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",1412109
SMRT,STEIN MART INC,5651,Office of Trade & Services,RETAIL-FAMILY CLOTHING STORES,884940
SMTC,SEMTECH CORP,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,88941
SNA,SNAP-ON Inc,3420,Office of Manufacturing,"CUTLERY, HANDTOOLS & GENERAL HARDWARE",91440
SNBR,Sleep Number Corp,2510,Office of Manufacturing,HOUSEHOLD FURNITURE,827187
SNCE,"Science 37 Holdings, Inc.",8731,Industrial Applications and Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,1819113
SNCY,"Sun Country Airlines Holdings, Inc.",4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED",1743907
SNDR,"Schneider National, Inc.",4213,Office of Energy & Transportation,TRUCKING (NO LOCAL),1692063
SNDX,Syndax Pharmaceuticals Inc,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1395937
SNEX,StoneX Group Inc.,6200,Office of Finance,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",913760
SNOW,Snowflake Inc.,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1640147
SNPS,SYNOPSYS INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,883241
SNV,SYNOVUS FINANCIAL CORP,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,18349
SNX,SYNNEX CORP,7373,Office of Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,1177394
SO,ALABAMA POWER CO,4911,Office of Energy & Transportation,ELECTRIC SERVICES,3153
SOFI,"SoFi Technologies, Inc.",6199,Office of Finance or Office of Crypto Assets,FINANCE SERVICES,1818874
SOI,"Solaris Oilfield Infrastructure, Inc.",3533,Office of Technology,OIL & GAS FIELD MACHINERY & EQUIPMENT,1697500
SON,SONOCO PRODUCTS CO,2650,Office of Manufacturing,PAPERBOARD CONTAINERS & BOXES,91767
SONO,SONOSITE INC,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1055355
SOVO,"Sovos Brands, Inc.",2000,Office of Manufacturing,FOOD AND KINDRED PRODUCTS,1856608
SP,SP Plus Corp,7510,Office of Trade & Services,SERVICES-AUTO RENTAL & LEASING (NO DRIVERS),1059262
SPB,"Spectrum Brands Holdings, Inc.",3690,Office of Manufacturing,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",1487730
SPCE,"Virgin Galactic Holdings, Inc",4700,Office of Energy & Transportation,TRANSPORTATION SERVICES,1706946
SPFI,"SOUTH PLAINS FINANCIAL, INC.",6022,Office of Finance,STATE COMMERCIAL BANKS,1163668
SPG,SIMON PROPERTY GROUP INC /DE/,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1063761
SPGI,S&P Global Inc.,7320,Office of Trade & Services,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",64040
SPIR,SPIRE Corp,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,731657
SPLK,SPLUNK INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1353283
SPNE,SeaSpine Holdings Corp,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1637761
SPNT,SiriusPoint Ltd,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",1576018
SPR,"Spirit AeroSystems Holdings, Inc.",3728,Office of Manufacturing,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",1364885
SPSC,SPS COMMERCE INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1092699
SPT,"Sprout Social, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1517375
SPTN,SPARTAN STORES INC,5141,Office of Trade & Services,"WHOLESALE-GROCERIES, GENERAL LINE",877422
SPWH,"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",5940,Office of Trade & Services,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,1132105
SPWR,SUNPOWER CORP,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,867773
SPXC,SPX CORP,3540,Office of Technology,METALWORKG MACHINERY & EQUIPMENT,88205
SQ,"Square, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1512673
SQSP,"Squarespace, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1496963
SR,STANDARD REGISTER CO,2761,Office of Manufacturing,MANIFOLD BUSINESS FORMS,93456
SRC,"SPIRIT REALTY CAPITAL, INC.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1277406
SRCE,1ST SOURCE CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,34782
SRCL,STERICYCLE INC,4955,Office of Energy & Transportation,HAZARDOUS WASTE MANAGEMENT,861878
SRDX,SURMODICS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,924717
SRE,SAN DIEGO GAS & ELECTRIC CO,4931,Office of Energy & Transportation,ELECTRIC & OTHER SERVICES COMBINED,86521
SRG,Seritage Growth Properties,6500,Office of Real Estate & Construction,REAL ESTATE,1628063
SRI,STONERIDGE INC,3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,1043337
SRNE,"Sorrento Therapeutics, Inc.",8731,Industrial Applications and Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,850261
SRPT,"Sarepta Therapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,873303
SRRA,"Sierra Oncology, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1290149
SSB,SOUTH STATE Corp,6022,Office of Finance,STATE COMMERCIAL BANKS,764038
SSD,SIMPSON MANUFACTURING CO INC /CA/,3420,Office of Manufacturing,"CUTLERY, HANDTOOLS & GENERAL HARDWARE",920371
SSNC,SS&C Technologies Holdings Inc,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1402436
SSP,SCRIPPS E W CO /DE,2711,Office of Manufacturing,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING,832428
SSRM,SSR MINING INC.,6795,Office of Real Estate & Construction,MINERAL ROYALTY TRADERS,921638
SSTI,"SHOTSPOTTER, INC",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1351636
SSTK,"Shutterstock, Inc.",7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,1549346
ST,Sensata Technologies Holding plc,3823,Industrial Applications and Services,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",1477294
STAA,STAAR SURGICAL CO,3851,Industrial Applications and Services,OPHTHALMIC GOODS,718937
STAG,"STAG Industrial, Inc.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1479094
STAR,ISTAR FINANCIAL INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1095651
STBA,S&T BANCORP INC,6022,Office of Finance,STATE COMMERCIAL BANKS,719220
STC,STEWART INFORMATION SERVICES CORP,6361,Office of Finance,TITLE INSURANCE,94344
STE,STERIS CORP,3842,Industrial Applications and Services,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",815065
STEM,STEMCELLS INC,2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",883975
STEP,StepStone Group Inc.,6282,Office of Finance,INVESTMENT ADVICE,1796022
STER,Sterling Check Corp.,7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,1645070
STGW,Stagwell Inc,7311,Office of Trade & Services,SERVICES-ADVERTISING AGENCIES,876883
STKL,SunOpta Inc.,5150,Office of Trade & Services,WHOLESALE-FARM PRODUCT RAW MATERIALS,351834
STKS,"ONE Group Hospitality, Inc.",5812,Office of Trade & Services,RETAIL-EATING PLACES,1399520
STLD,STEEL DYNAMICS INC,3312,Office of Manufacturing,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",1022671
STOK,"Stoke Therapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1623526
STON,STONEMOR PARTNERS LP,7200,Office of Trade & Services,SERVICES-PERSONAL SERVICES,1286131
STOR,STORE CAPITAL Corp,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1538990
STR,QUESTAR CORP,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,751652
STRA,STRAYER EDUCATION INC,8200,Office of Trade & Services,SERVICES-EDUCATIONAL SERVICES,1013934
STRC,SRI SURGICAL EXPRESS INC,7200,Office of Trade & Services,SERVICES-PERSONAL SERVICES,1014041
STRL,STERLING CONSTRUCTION CO INC,1600,Office of Real Estate & Construction,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,874238
STRO,"SUTRO BIOPHARMA, INC.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1382101
STRS,STRATUS PROPERTIES INC,6552,Office of Real Estate & Construction,LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES),885508
STT,STATE STREET Corp,6022,Office of Finance,STATE COMMERCIAL BANKS,93751
STWD,"STARWOOD PROPERTY TRUST, INC.",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1465128
STZ,"CONSTELLATION BRANDS, INC.",2080,Office of Manufacturing,BEVERAGES,16918
SUI,SUN COMMUNITIES INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,912593
SUM,"Summit Materials, Inc.",1400,Office of Energy & Transportation,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),1621563
SUMO,"Sumo Logic, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1643269
SUNL,Sunlight Financial Holdings Inc.,6199,Office of Finance or Office of Crypto Assets,FINANCE SERVICES,1821850
SUPN,SUPERNUS PHARMACEUTICALS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1356576
SVC,Service Properties Trust,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,945394
SWAV,"ShockWave Medical, Inc.",3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1642545
SWBI,"SMITH & WESSON BRANDS, INC.",3480,Office of Manufacturing,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)",1092796
SWCH,"Switch, Inc.",7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",1710583
SWI,"SolarWinds, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1428669
SWIM,"Latham Group, Inc.",3089,Industrial Applications and Services,"PLASTICS PRODUCTS, NEC",1833197
SWK,"STANLEY BLACK & DECKER, INC.",3420,Office of Manufacturing,"CUTLERY, HANDTOOLS & GENERAL HARDWARE",93556
SWKH,SWK Holdings Corp,6159,Office of Finance,MISCELLANEOUS BUSINESS CREDIT INSTITUTION,1089907
SWKS,SKYWORKS SOLUTIONS INC,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,4127
SWM,SCHWEITZER MAUDUIT INTERNATIONAL INC,2621,Office of Manufacturing,PAPER MILLS,1000623
SWN,SOUTHWESTERN ENERGY CO,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,7332
SWTX,"SpringWorks Therapeutics, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1773427
SWX,SOUTHWEST GAS CORP,4923,Office of Energy & Transportation,NATURAL GAS TRANSMISISON & DISTRIBUTION,92416
SXC,"SunCoke Energy, Inc.",3312,Office of Manufacturing,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",1514705
SXI,STANDEX INTERNATIONAL CORP/DE/,3580,Office of Technology,REFRIGERATION & SERVICE INDUSTRY MACHINERY,310354
SXT,SENSIENT TECHNOLOGIES CORP,2860,Industrial Applications and Services,INDUSTRIAL ORGANIC CHEMICALS,310142
SYBT,S Y BANCORP INC,6022,Office of Finance,STATE COMMERCIAL BANKS,835324
SYF,Synchrony Financial,6199,Office of Finance or Office of Crypto Assets,FINANCE SERVICES,1601712
SYK,STRYKER CORP,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,310764
SYNA,SYNAPTICS INC,7371,Office of Technology,SERVICES-COMPUTER PROGRAMMING SERVICES,817720
SYNH,"Syneos Health, Inc.",8731,Industrial Applications and Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,1610950
SYY,SYSCO CORP,5140,Office of Trade & Services,WHOLESALE-GROCERIES & RELATED PRODUCTS,96021
T,AT&T INC.,4813,Office of Technology,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),732717
TA,TravelCenters of America Inc. /MD/,5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,1378453
TALO,TALOS ENERGY INC.,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,1724965
TALS,"Talaris Therapeutics, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1827506
TAP,MOLSON COORS BREWING CO,2082,Office of Manufacturing,MALT BEVERAGES,24545
TARS,"Tarsus Pharmaceuticals, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1819790
TBBK,"Bancorp, Inc.",6021,Office of Finance,NATIONAL COMMERCIAL BANKS,1295401
TBI,"TrueBlue, Inc.",7363,Office of Trade & Services,SERVICES-HELP SUPPLY SERVICES,768899
TBK,"Triumph Bancorp, Inc.",6022,Office of Finance,STATE COMMERCIAL BANKS,1539638
TBPH,"Theravance Biopharma, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1583107
TCBI,TEXAS CAPITAL BANCSHARES INC/TX,6022,Office of Finance,STATE COMMERCIAL BANKS,1077428
TCBK,TRICO BANCSHARES /,6022,Office of Finance,STATE COMMERCIAL BANKS,356171
TCBX,"Third Coast Bancshares, Inc.",6036,Office of Finance,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",1781730
TCDA,"Tricida, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1595585
TCI,TRANSCONTINENTAL REALTY INVESTORS INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,733590
TCMD,TACTILE SYSTEMS TECHNOLOGY INC,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1027838
TCS,"Container Store Group, Inc.",5700,Office of Trade & Services,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES",1411688
TCX,TUCOWS INC /PA/,7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,909494
TDC,TERADATA CORP /DE/,3571,Office of Technology,ELECTRONIC COMPUTERS,816761
TDG,TransDigm Group INC,3728,Office of Manufacturing,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",1260221
TDOC,"Teladoc, Inc.",8011,Industrial Applications and Services,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,1477449
TDS,TELEPHONE & DATA SYSTEMS INC /DE/,4813,Office of Technology,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),1051512
TDUP,ThredUp Inc.,5961,Office of Trade & Services,RETAIL-CATALOG & MAIL-ORDER HOUSES,1484778
TDW,TIDEWATER INC,4400,Office of Energy & Transportation,WATER TRANSPORTATION,98222
TDY,TELEDYNE TECHNOLOGIES INC,8711,Office of Trade & Services,SERVICES-ENGINEERING SERVICES,1094285
TECH,TECHNE CORP /MN/,2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",842023
TELL,TELLURIAN INC. /DE/,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,61398
TEN,TENNECO INC,3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,1024725
TENB,"Tenable Holdings, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1660280
TER,"TERADYNE, INC",3825,Industrial Applications and Services,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,97210
TEX,TEREX CORP,3537,Office of Technology,"INDUSTRIAL TRUCKS, TRACTORS, TRAILORS & STACKERS",97216
TFC,TRUIST FINANCIAL CORP,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,92230
TFSL,TFS Financial CORP,6035,Office of Finance,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",1381668
TFX,TELEFLEX INC,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,96943
TG,TREDEGAR CORP,3350,Office of Manufacturing,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,850429
TGAN,"Transphorm, Inc.",3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1715768
TGI,TRIUMPH GROUP INC,3720,Office of Manufacturing,AIRCRAFT & PARTS,1021162
TGNA,TEGNA INC,4833,Office of Technology,TELEVISION BROADCASTING STATIONS,39899
TGT,TARGET CORP,5331,Office of Trade & Services,RETAIL-VARIETY STORES,27419
TGTX,"TG THERAPEUTICS, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1001316
TH,Target Hospitality Corp.,7000,Office of Real Estate & Construction,"HOTELS, ROOMING HOUSES, CAMPS & OTHER LODGING PLACES",1712189
THC,TENET HEALTHCARE CORP,8062,Industrial Applications and Services,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",70318
